"","tran","time","zone"
"1",NA,"Pre","Inshore"
"2",NA,"Pre","Inshore"
"3",NA,"Pre","Inshore"
"4",NA,"Pre","Inshore"
"5",NA,"Pre","Inshore"
"6",NA,"Pre","Inshore"
"7",NA,"Pre","Inshore"
"8",NA,"Pre","Inshore"
"9",NA,"Pre","Inshore"
"10",NA,"Pre","Inshore"
"11",NA,"Pre","Inshore"
"12",NA,"Pre","Inshore"
"13",NA,"Pre","Inshore"
"14",0,"Pre","Inshore"
"15",0,"Pre","Inshore"
"16",NA,"Pre","Inshore"
"17",NA,"Pre","Inshore"
"18",NA,"Pre","Inshore"
"19",NA,"Pre","Inshore"
"20",NA,"Pre","Inshore"
"21",NA,"Pre","Inshore"
"22",NA,"Pre","Inshore"
"23",NA,"Pre","Inshore"
"24",NA,"Pre","Inshore"
"25",NA,"Pre","Inshore"
"26",NA,"Pre","Inshore"
"27",NA,"Pre","Inshore"
"28",NA,"Pre","Inshore"
"29",NA,"Pre","Inshore"
"30",NA,"Pre","Inshore"
"31",0,"Pre","Inshore"
"32",NA,"Pre","Inshore"
"33",0,"Pre","Inshore"
"34",NA,"Pre","Inshore"
"35",NA,"Pre","Inshore"
"36",NA,"Pre","Inshore"
"37",NA,"Pre","Inshore"
"38",NA,"Pre","Inshore"
"39",NA,"Pre","Inshore"
"40",NA,"Pre","Inshore"
"41",0,"Pre","Inshore"
"42",0,"Irma","Inshore"
"43",0,"Irma","Inshore"
"44",0,"Irma","Inshore"
"45",NA,"Irma","Inshore"
"46",NA,"Irma","Inshore"
"47",0,"Irma","Inshore"
"48",NA,"Irma","Inshore"
"49",0.333333333333333,"Irma","Inshore"
"50",NA,"Irma","Inshore"
"51",0.333333333333333,"Irma","Inshore"
"52",0,"Irma","Inshore"
"53",NA,"Irma","Inshore"
"54",NA,"Irma","Inshore"
"55",NA,"Irma","Inshore"
"56",0,"Irma","Inshore"
"57",NA,"Irma","Inshore"
"58",NA,"Irma","Inshore"
"59",NA,"Irma","Inshore"
"60",NA,"Irma","Inshore"
"61",NA,"Irma","Inshore"
"62",NA,"Irma","Inshore"
"63",0.1,"Irma","Inshore"
"64",NA,"Irma","Inshore"
"65",NA,"Irma","Inshore"
"66",NA,"Irma","Inshore"
"67",NA,"Irma","Inshore"
"68",NA,"Irma","Inshore"
"69",NA,"Irma","Inshore"
"70",NA,"Irma","Inshore"
"71",NA,"Irma","Inshore"
"72",NA,"Irma","Inshore"
"73",0,"Irma","Inshore"
"74",NA,"Irma","Inshore"
"75",NA,"Irma","Inshore"
"76",NA,"Irma","Inshore"
"77",NA,"Irma","Inshore"
"78",NA,"Irma","Inshore"
"79",NA,"Irma","Inshore"
"80",NA,"Irma","Inshore"
"81",NA,"Irma","Inshore"
"82",NA,"Irma","Inshore"
"83",NA,"Post","Inshore"
"84",NA,"Post","Inshore"
"85",NA,"Post","Inshore"
"86",NA,"Post","Inshore"
"87",NA,"Post","Inshore"
"88",NA,"Post","Inshore"
"89",NA,"Post","Inshore"
"90",NA,"Post","Inshore"
"91",NA,"Post","Inshore"
"92",NA,"Post","Inshore"
"93",0,"Post","Inshore"
"94",NA,"Post","Inshore"
"95",NA,"Post","Inshore"
"96",NA,"Post","Inshore"
"97",NA,"Post","Inshore"
"98",NA,"Post","Inshore"
"99",NA,"Post","Inshore"
"100",NA,"Post","Inshore"
"101",NA,"Post","Inshore"
"102",NA,"Post","Inshore"
"103",NA,"Post","Inshore"
"104",NA,"Post","Inshore"
"105",NA,"Post","Inshore"
"106",NA,"Post","Inshore"
"107",NA,"Post","Inshore"
"108",NA,"Post","Inshore"
"109",NA,"Post","Inshore"
"110",NA,"Post","Inshore"
"111",NA,"Post","Inshore"
"112",NA,"Post","Inshore"
"113",0,"Post","Inshore"
"114",NA,"Post","Inshore"
"115",NA,"Post","Inshore"
"116",NA,"Post","Inshore"
"117",NA,"Post","Inshore"
"118",NA,"Post","Inshore"
"119",NA,"Post","Inshore"
"120",NA,"Post","Inshore"
